What is the primary function of an SCM (Source Code Management) tool in a DevOps pipeline?,"It is used to store and manage different versions of source code files, application configuration files, and test cases, enabling parallel development."
"In the context of modern mainframe development, what is the recommended SCM technology?",A Git-based SCM is the recommended technology.
What tool is recommended by IBM for handling the build component in a z/OS CI/CD pipeline?,IBM Dependency Based Build (DBB) is the recommended build tool.
"What is the key DevOps practice supported by an artifact repository, allowing the same binaries to be deployed to multiple environments?","The principle of ""Build once, deploy many""."
"Which component in a CI/CD pipeline oversees and integrates all automated processes, ensuring they run in the correct order?",The Pipeline Orchestrator (or CI Orchestrator).
The _____ is a framework template that facilitates leveraging DBB APIs to build z/OS applications by defining build properties separately from the build logic.,zAppBuild framework
What are the two main types of builds discussed in the context of z/OS development with DBB?,"A user build, done by a developer on a single program, and a pipeline build, which builds changes pushed to the Git server."
"In z/OS mainframe development, what is a copybook?","A file containing a shared data structure, included in multiple programs at compile time to define interfaces for data sharing."
What is the difference between a static call and a dynamic call between programs on z/OS?,"Statically called programs are linked together at build time, while dynamically called programs are built separately and linked at runtime."
"A _____ change to an interface is one where the memory layout of the data structure is impacted, requiring all consumers to rebuild.",breaking
"In the context of interface changes, what does the term 'adoption' refer to?","It is the process of an application reacting to changes in a consumed interface, such as recompiling to use a new version of a copybook."
What is the purpose of a 'User Build' in the IBM Z DevOps workflow?,It allows a developer to compile a single program for personal testing without committing or pushing the change to the repository.
A _____ build only compiles changed files and any other files that are impacted by those changes.,dependency-based impact
What is the role of the 'Architect' in a mainframe DevOps transformation?,"The architect defines the new software delivery process, translating existing mainframe workflows into the to-be CI/CD pipeline."
Which role in a mainframe DevOps transformation is responsible for developing and maintaining the build scripts for the new pipeline using tools like DBB?,The Build Specialist.
"The _____ is a developer-type role that assembles and administers the pipeline via the CI/CD orchestrator, focusing on integrating tools together.",Pipeline Specialist
What is the primary function of the DBB Migration Tool?,"It facilitates copying source code PDS members into a local Git repository on z/OS UNIX, performing necessary code page conversions."
What character encoding conversion is typically required when migrating mainframe source code to Git?,Conversion from an EBCDIC code page (like IBM-1047) to UTF-8.
